date,code,name,sector,open,high,low,close,volume,trade,value,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Returns_1d,Returns_5d,Returns_20d,Log_Returns,Volatility_30d,Volatility_60d,Volume_SMA_20,Volume_Ratio,Target_Return_1d,Target_Price_1d
2010-10-07,SQURPHARMA,Square Pharmaceuticals,Pharma,421.1,422.68,413.13,417.55,92820,3563,38756973.5,423.91,422.71000000000004,425.4905,415.54900000000004,415.43140000000005,436.23330000000004,423.24756517799324,421.9342706871316,419.1516255750298,48.165938864628814,1.313294490861665,2.65651729776562,-1.3432228069039551,425.4905,435.15857764052646,415.82242235947353,19.336155281052925,0.08934442320181882,6.867142857142852,-0.004411063423938932,-0.019121896215555934,-0.031071610897108637,-0.004420820868581121,0.20749486505605463,0.22458646705177326,587607.55,0.15796257212828527,-0.009340198778589492,413.65
2010-10-08,SQURPHARMA,Square Pharmaceuticals,Pharma,414.55,418.47,408.36,413.65,773635,1056,320015755.21,421.032,422.116,424.616,415.72540000000004,414.99729999999994,436.18309999999997,421.7710166890712,421.3206210066033,418.9358755524796,35.72093023255813,0.4503956824678994,2.215292974706076,-1.7648972922381767,424.616,435.2483862747188,413.98361372528115,21.26477254943768,-0.01568856306859441,6.898571428571423,-0.009340198778589492,-0.033618353424913705,-0.04056686923041242,-0.009384091963046627,0.2065548860271361,0.22560619514130664,578013.85,1.3384367865925704,-0.01610056811313909,406.99
2010-10-11,SQURPHARMA,Square Pharmaceuticals,Pharma,406.95,410.99,402.88,406.99,937834,1094,381691357.81,416.892,420.617,423.491,415.85040000000004,414.5878000000001,436.05535000000003,419.4970141215218,420.25909352463265,418.46740984453925,26.568186683793655,-0.7620794031108744,1.619818499142686,-2.3818979022535602,423.491,436.4572215410939,410.5247784589061,25.932443082187774,-0.13630719048349224,7.237142857142852,-0.01610056811313909,-0.048399541724145956,-0.05238771566276279,-0.016231590520014896,0.20525400795851426,0.2238712882698394,613644.3,1.5283023080308902,-0.010344234502076333,402.78
2010-10-12,SQURPHARMA,Square Pharmaceuticals,Pharma,404.81,407.51,400.4,402.78,187662,3595,75586100.6,412.07399999999996,418.872,421.86949999999996,415.7664000000001,414.1455,435.8926,416.9251657951338,418.96434585614134,417.8522173016162,25.5087358684481,-2.039180061007528,0.8880187871126433,-2.927198848120171,421.86949999999996,436.6493518260536,407.08964817394633,29.55970365210726,-0.14579470162039768,7.030714285714282,-0.010344234502076333,-0.05643404315131073,-0.07451575101675056,-0.010398107937461923,0.2003131754829848,0.22364393002560407,598812.65,0.31339017303659167,0.04672525944684458,421.6
2010-10-13,SQURPHARMA,Square Pharmaceuticals,Pharma,425.13,426.13,418.34,421.6,914427,2382,385520211.56,412.514,419.026,421.51899999999995,415.99019999999996,413.97540000000004,435.85195,417.6443710574209,419.15957949642717,417.9991891721411,44.61256304447506,-1.5152084390062441,0.40737334188886576,-1.92258178089511,421.51899999999995,435.95426661012414,407.08373338987576,28.870533220248376,0.5028056288182189,8.067142857142857,0.04672525944684458,0.005245588936576118,-0.016355194699143705,0.04566649004843756,0.24325659259694118,0.24017251957744065,619389.85,1.476335138523823,0.003462998102466752,423.06
2010-10-14,SQURPHARMA,Square Pharmaceuticals,Pharma,420.34,427.83,418.86,423.06,590992,3560,250024608.71,413.616,418.76300000000003,421.224,416.41540000000003,413.90409999999997,435.86300000000006,418.4775447408946,419.44849953372886,418.19765234186104,53.00017292062945,-0.9709547928342772,0.1317077149442372,-1.1026625077785144,421.224,435.2544636979342,407.19353630206575,28.060927395868475,0.5654290563565029,7.6657142857142855,0.003462998102466752,0.013196024428212105,-0.013754196195449375,0.0034570157318516053,0.24183723754089598,0.240127450454492,608858.4,0.9706559029160146,0.015246064388030112,429.51
2010-10-15,SQURPHARMA,Square Pharmaceuticals,Pharma,427.15,429.95,424.97,429.51,219639,2180,94338102.89,416.788,418.91,421.738,416.836,413.8489,435.88935,420.1748455499877,420.19379586456375,418.6412738186508,56.083373727581154,-0.018950314576045457,0.10157610904018068,-0.12052642361622613,421.738,436.2072335664368,407.2687664335632,28.938467132873598,0.7685698577023499,7.887857142857143,0.015246064388030112,0.03834159313429231,0.024521145910359365,0.015131011081341678,0.24443991309079408,0.23394721090706055,591576.85,0.37127720599614406,-0.0021419757397965755,428.59
2010-10-18,SQURPHARMA,Square Pharmaceuticals,Pharma,427.63,430.43,422.42,428.59,957348,4042,410311442.48,421.108,419.0,421.871,417.3606,413.73079999999993,435.89424999999994,421.46948469614347,420.8157369116331,419.0314199434096,56.84572551588597,0.6537477845103581,0.21201044413421616,0.44173734037614193,421.871,436.54985826623107,407.1921417337689,29.357716532462177,0.728866573889372,8.205714285714285,-0.0021419757397965755,0.05307255706528413,0.006245157655013767,-0.0021442730509409094,0.23082050945895563,0.2337846450283816,591145.5,1.6194794682527398,0.00034998483399051317,428.74
2010-10-19,SQURPHARMA,Square Pharmaceuticals,Pharma,429.06,430.79,427.32,428.74,643395,2243,275852273.66,426.3,419.187,421.86400000000003,417.97460000000007,413.596,435.94475,422.58802551212136,421.40271936262326,419.41214857307983,57.110091743119256,1.1853061494981034,0.40666958520699364,0.7786365642911097,421.86400000000003,436.52891179294437,407.1990882070557,29.329823585888676,0.7344371414258419,8.160714285714286,0.00034998483399051317,0.064452058195541,-0.00032643163588874646,0.0003499236035845605,0.23081924770956347,0.2337500231953444,599474.2,1.0732655383667888,-0.0072771376591873604,425.62
2010-10-20,SQURPHARMA,Square Pharmaceuticals,Pharma,426.56,426.75,422.94,425.62,694526,3894,295607539.54,427.104,419.809,421.81450000000007,418.466,413.47479999999996,436.00135,423.0544831256412,421.71511052094746,419.65559372707673,49.94020160601402,1.3393726046937218,0.5932101891043393,0.7461624155893825,421.81450000000007,436.41851743573534,407.2104825642648,29.208034871470545,0.6302894911193435,8.047142857142859,-0.0072771376591873604,0.009535104364326363,-0.0023206207074377705,-0.007303745188463973,0.21673911730275106,0.23329712048179027,599639.9,1.158238469454751,0.012898829942201928,431.11
